EQUI-5	at 91	aged 91	2
SPE1-3	Former Nazi death camp guard Demjanjuk	John Demjanjuk convicted Nazi death camp guard	6
EQUI-5	dead	dies	1
EQUI-5	to compete	To Compete	2
REL-3	Saudis	Saudi Women	1
EQUI-5	in Olympics	At Olympics	2
EQUI-5	women	Saudi Women	1
EQUI-5	to permit	Allowed	1
EQUI-5	kills	kills	1
SPE1-4	US drone strike	Drone strike	2
EQUI-5	in Pakistan	in Pakistan	2
SIMI-4	5 militants	four suspected militants	2
SPE1-2	Syria peace plan conditions	Syria peace	2
EQUI-5	Syrian regime	Syria	1
EQUI-5	in Houla massacre	for Houla massacre	3
EQUI-5	China stocks	Chinese stocks	2
SPE2-4	Friday	midday Friday	1
SIMI-2	mixed	higher	1
EQUI-5	close	close	1
SPE1-4	Mall attackers	attackers	1
EQUI-5	used	used	1
EQUI-5	` less is more ' strategy	` less is more ' strategy	6
EQUI-5	Solomon Islands	Solomon Islands	2
EQUI-5	strikes off	strikes off	2
SIMI-4	6.8 quake	Magnitude 6.3 quake	2
EQUI-5	recognizes	recognize	1
EQUI-5	of Syria	of Syria	2
SIMI-4	as legitimate representative	as sole representative	3
EQUI-5	Friends	Friends	1
EQUI-5	opposition coalition	opposition	1
EQUI-5	detained	detains	1
EQUI-5	for ` house sister ' scandal	for `` house sister '' scandal	6
EQUI-5	7	7	1
EQUI-5	takes a beating	tumbles	1
EQUI-5	Boeing 787 Dreamliner	on 787 Dreamliner	3
EQUI-5	catches fire	after fire	2
EQUI-5	stock	Boeing stock	1
EQUI-5	seven foreign workers	Seven foreign workers	3
EQUI-5	in Nigeria	in Nigeria	2
EQUI-5	abduct	kidnapped	1
EQUI-5	Israeli forces	security forces	2
EQUI-5	in West Bank , Jerusalem	in W. Bank	3
EQUI-5	clash with	clash with	2
EQUI-5	Palestinians	Palestinians	1
SPE1-4	in bus accident	in road accident	3
EQUI-5	killed	killed	1
SIMI-4	12	10	1
SPE2-4	in Pakistan	in NW Pakistan	2
EQUI-5	Postpones	postpones	1
EQUI-5	Family Reunions	family unions	2
EQUI-5	with South	with South Korea	2
EQUI-5	North Korea	North Korea	2
EQUI-5	From Soccer	from football	2
EQUI-5	Announces Retirement	retires	1
EQUI-5	David Beckham	David Beckham	2
EQUI-5	on National Mall	on National Mall	3
EQUI-5	Dies	dies	1
EQUI-5	Man	Man	1
EQUI-5	Who Set Himself on Fire	who set himself ablaze	4
SIMI-4	Selected	is	1
EQUI-5	as Japan	Japan	1
EQUI-5	's Prime Minister	's prime minister	3
EQUI-5	Shinzo Abe	Shinzo Abe	2
EQUI-5	after ski accident	following skiing accident	3
EQUI-5	Schumacher	Michael Schumacher	1
EQUI-5	in a coma	in a coma	3
EQUI-5	a Lance Armstrong biopic	Lance Armstrong in biopic	4
SPE2-3	Bradley Cooper and JJ Abrams	Bradley Cooper	2
REL-3	about filming	to play	2
EQUI-5	in talks	in talks	2
EQUI-5	EU ministers	EU ministers	2
EQUI-5	horsemeat scandal	over horse meat scandal	2
EQUI-5	Thai opposition party	Thai opposition	2
SPE1-4	to boycott general election	election boycott	2
EQUI-5	continues	continues	1
EQUI-5	power crisis	blackout	1
EQUI-5	Jagan Reddy	Jagan	1
EQUI-5	in Seemandhra	in Seemandhra	2
EQUI-5	to hospital	in hospital	2
EQUI-5	as Maracana re-opens	as Maracana re-opens	3
REL-3	tied	held	1
EQUI-5	Brazil	Brazil	1
EQUI-5	2-2	2-2	1
EQUI-5	by England	by England	2
SIMI-3	warns against	weighs into	2
SPE1-4	bitter immigration debate	immigration debate	2
EQUI-5	George W. Bush	George W Bush	3
EQUI-5	ill	fall sick	1
EQUI-5	Hundreds	Hundreds	1
SPE1-3	of Bangladesh clothes factory workers	in Bangladesh factory	3
EQUI-5	conducts	launches	1
EQUI-5	on Syria	against Syria	2
